TICKER,PERIOD,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^SPX,5,20220916,214500,3873.36,3873.36,3865.31,3871.04,45730318,0
^SPX,5,20220916,215000,3870.81,3876.85,3870.81,3873.42,101883447,0
^SPX,5,20220916,215500,3873.02,3877.6,3872.07,3873.33,1431628308,0
^SPX,5,20220919,153000,3849.91,3851.05,3838.63,3849.72,57790013,0
^SPX,5,20220919,153500,3851.07,3852.54,3848.66,3850.5,28134771,0
^SPX,5,20220919,154000,3851.17,3861.16,3851.17,3859.05,29281894,0
^SPX,5,20220919,154500,3859.16,3863.78,3858.98,3860.94,25242620,0
^SPX,5,20220919,155000,3861.22,3869.77,3861.02,3866.18,21916793,0
^SPX,5,20220919,155500,3865.86,3867.83,3862.65,3864.07,20426420,0
^SPX,5,20220919,160000,3864.56,3864.56,3856.56,3857.54,20996243,0
^SPX,5,20220919,160500,3857.45,3864.29,3857.15,3860.65,19266636,0
^SPX,5,20220919,161000,3860.58,3874.25,3860.42,3870.13,22975077,0
^SPX,5,20220919,161500,3869.93,3870.6,3863.78,3863.78,19324623,0
^SPX,5,20220919,162000,3863.82,3865.85,3860.44,3865.85,19122560,0
^SPX,5,20220919,162500,3867.29,3872.39,3867.11,3872.19,16738202,0
^SPX,5,20220919,163000,3872.56,3874.5,3868.7,3871.52,18072607,0
^SPX,5,20220919,163500,3872.06,3880.02,3872.06,3878.62,19326589,0
^SPX,5,20220919,164000,3879.1,3885.12,3879.1,3884.15,19800482,0
^SPX,5,20220919,164500,3884.21,3886.54,3882.11,3882.78,17030328,0
^SPX,5,20220919,165000,3882.07,3882.07,3877.57,3877.88,17098669,0
^SPX,5,20220919,165500,3876.69,3879.62,3875.26,3877.24,14950316,0
^SPX,5,20220919,170000,3878.17,3884.08,3876.88,3881.05,16861296,0
^SPX,5,20220919,170500,3880.7,3882.94,3879.21,3879.82,17869660,0
^SPX,5,20220919,171000,3880.06,3882.47,3876.87,3877.7,14180525,0
^SPX,5,20220919,171500,3877.55,3885.29,3877.06,3879.67,16762950,0
^SPX,5,20220919,172000,3879.22,3879.43,3872.56,3872.56,16527299,0
^SPX,5,20220919,172500,3872.57,3874.14,3867.58,3868.1,15257787,0
^SPX,5,20220919,173000,3867.36,3867.78,3863.15,3865.41,16886724,0
^SPX,5,20220919,173500,3864.63,3864.71,3858.12,3860.48,16434708,0
^SPX,5,20220919,174000,3860.06,3862.74,3859.19,3862.44,12659762,0
^SPX,5,20220919,174500,3862.01,3866.21,3862.01,3865.69,12106323,0
^SPX,5,20220919,175000,3865.59,3867.68,3863.29,3864.83,12685280,0
^SPX,5,20220919,175500,3865.52,3866.18,3860.22,3860.73,13160134,0
^SPX,5,20220919,180000,3860.92,3864.85,3860.73,3860.76,11294122,0
^SPX,5,20220919,180500,3860.52,3864.66,3854.71,3863.24,16892719,0
^SPX,5,20220919,181000,3863.18,3865.58,3862.84,3863.12,10640162,0
^SPX,5,20220919,181500,3862.92,3866.14,3860.99,3864.74,13166457,0
^SPX,5,20220919,182000,3864.05,3864.7,3861.08,3863.52,11353290,0
^SPX,5,20220919,182500,3863.32,3863.97,3858.74,3861.25,12944948,0
