Date,BTC-USD,ETH-USD,^GSPC,EURUSD=X,SI=F,ACAEUO.MI,ACAPER.MI,ACABRT.MI,XMLC.F,XDW0.DE,BRK-A,7309.T,AIGI.MI,WEAT.MI
2018-08-29,7047.16015625,289.31201171875,2914.0400390625,1.1709738969802856,14.687999725341797,,,,,30.924999237060547,317505.0,16362.8447265625,10.137999534606934,0.566100001335144
2018-08-30,6978.22998046875,284.1050109863281,2901.1298828125,1.1664663553237915,14.47700023651123,,,,,30.8799991607666,317000.0,16218.974609375,10.053999900817871,0.5641999840736389
2018-08-31,7037.580078125,283.0039978027344,2901.52001953125,,14.437999725341797,,,,,30.65999984741211,315800.0,16439.576171875,9.958000183105469,0.5760999917984009
2018-09-01,7193.25,295.34100341796875,,,,,,,,,,,,
2018-09-02,7272.72021484375,294.3710021972656,,1.1601063013076782,,,,,,,,,,
2018-09-03,7260.06005859375,289.2590026855469,,1.161548137664795,,,,,,30.774999618530273,,16314.8876953125,9.895000457763672,0.578499972820282
2018-09-04,7361.66015625,285.7229919433594,2896.719970703125,1.1586545705795288,14.060999870300293,,,,,30.645000457763672,317250.0,16190.2001953125,9.710000038146973,0.5680999755859375
2018-09-05,6792.830078125,232.33099365234375,2888.60009765625,1.1635212898254395,14.118000030517578,,,,,30.219999313354492,319920.0,16190.2001953125,9.720000267028809,0.5584999918937683
2018-09-06,6529.169921875,230.21499633789062,2878.050048828125,1.1620069742202759,14.074999809265137,,,,,30.05500030517578,320035.0,16180.6083984375,9.729999542236328,0.5482000112533569
2018-09-07,6467.06982421875,217.2030029296875,2871.679931640625,,14.067000389099121,,,,,29.889999389648438,321700.0,16372.439453125,9.781000137329102,0.545799970626831
2018-09-08,6225.97998046875,197.9510040283203,,,,,,,,,,,,
2018-09-09,6300.85986328125,196.9239959716797,,1.1561094522476196,,,,,,,,,,
2018-09-10,6329.7001953125,197.07899475097656,2877.1298828125,1.159595012664795,14.079000473022461,,,,,29.979999542236328,322560.0,16410.80078125,9.732999801635742,0.5508000254631042
2018-09-11,6321.2001953125,185.0659942626953,2887.889892578125,1.1596084833145142,14.052000045776367,,,,,30.184999465942383,323242.0,16593.037109375,9.60200023651123,0.5539000034332275
2018-09-12,6351.7998046875,183.33099365234375,2888.919921875,1.1629259586334229,14.192000389099121,,,,,30.524999618530273,322340.0,16842.408203125,9.765999794006348,0.5582000017166138
2018-09-13,6517.31005859375,211.35400390625,2904.179931640625,1.1691803932189941,14.142999649047852,,,,,30.204999923706055,321575.0,17072.60546875,9.767999649047852,0.5317000150680542
2018-09-14,6512.7099609375,211.74899291992188,2904.97998046875,,14.041999816894531,,,,,30.475000381469727,324999.0,16986.283203125,9.706999778747559,0.5324000120162964
2018-09-15,6543.2001953125,223.07400512695312,,,,,,,,,,,,
2018-09-16,6517.18017578125,220.58900451660156,,1.1628988981246948,,,,,,,,,,
2018-09-17,6281.2001953125,197.875,2888.800048828125,1.1669156551361084,14.121999740600586,,,,,30.514999389648438,324575.0,16986.283203125,9.595999717712402,0.5390999913215637
2018-09-18,6371.2998046875,209.97500610351562,2904.31005859375,1.167992353439331,14.083999633789062,,,,,30.700000762939453,327436.0,17705.634765625,9.690999984741211,0.5357999801635742
2018-09-19,6398.5400390625,209.968994140625,2907.949951171875,1.167460560798645,14.189000129699707,,,,,30.844999313354492,332000.0,17820.73046875,9.807999610900879,0.548799991607666
2018-09-20,6519.669921875,224.59100341796875,2930.75,1.1775927543640137,14.21500015258789,,,,,30.690000534057617,333415.0,17743.998046875,9.770999908447266,0.5472000241279602
2018-09-21,6734.9501953125,246.58399963378906,2929.669921875,,14.269000053405762,,,,,30.809999465942383,331336.0,17600.12890625,10.121999740600586,0.5440999865531921
2018-09-22,6721.97998046875,240.47999572753906,,,,,,,,,,,,
2018-09-23,6710.6298828125,244.3300018310547,,1.1751019954681396,,,,,,,,,,
2018-09-24,6595.41015625,228.72999572753906,2919.3701171875,1.175295352935791,14.25100040435791,,,,,31.19499969482422,327840.0,17600.12890625,10.109999656677246,0.5501999855041504
2018-09-25,6446.47021484375,218.5050048828125,2915.56005859375,1.1763184070587158,14.39799976348877,,,,,31.559999465942383,328500.0,17743.998046875,10.010000228881836,0.5458999872207642
2018-09-26,6495.0,215.8470001220703,2905.969970703125,1.1748534440994263,14.305000305175781,,,,,31.489999771118164,324286.0,17743.998046875,10.039999961853027,0.5508000254631042
2018-09-27,6676.75,228.49400329589844,2914.0,1.1637378931045532,14.201000213623047,,,,,31.59000015258789,324731.0,17552.171875,9.930999755859375,0.5426999926567078
2018-09-28,6644.1298828125,222.40199279785156,2913.97998046875,,14.623000144958496,,,,,31.78499984741211,320000.0,17561.763671875,10.15999984741211,0.5407000184059143
2018-09-29,6601.9599609375,231.63499450683594,,,,,,,,,,,,
2018-09-30,6625.56005859375,232.84800720214844,,1.1605371236801147,,,,,,,,,,
2018-10-01,6589.6201171875,230.76800537109375,2924.590087890625,1.157755732536316,14.42199993133545,,,,,32.09000015258789,321930.0,17072.60546875,10.185999870300293,0.5432000160217285
2018-10-02,6556.10009765625,227.18099975585938,2923.429931640625,1.1551746129989624,14.609999656677246,,,,,32.08000183105469,322900.0,16976.69140625,10.284000396728516,0.5443000197410583
2018-10-03,6502.58984375,220.48899841308594,2925.510009765625,1.147631287574768,14.59000015258789,,,,,,323878.0,16775.26953125,10.399999618530273,0.5580999851226807
2018-10-04,6576.68994140625,222.21800231933594,2901.610107421875,1.1518083810806274,14.510000228881836,,,,,32.415000915527344,327900.0,16583.447265625,10.40999984741211,0.5552999973297119
2018-10-05,6622.47998046875,227.6009979248047,2885.570068359375,,14.569000244140625,,,,,32.14500045776367,329500.0,16564.26171875,10.253999710083008,0.5565999746322632
2018-10-06,6588.31005859375,225.1199951171875,,,,,,,,,,,,
2018-10-07,6602.9501953125,226.11900329589844,,1.1522595882415771,,,,,,,,,,
2018-10-08,6652.22998046875,229.2550048828125,2884.429931640625,1.1494120359420776,14.258999824523926,,,,,32.025001525878906,333337.0,16564.26171875,10.211999893188477,0.5552999973297119
2018-10-09,6642.64013671875,227.98199462890625,2880.340087890625,1.1506949663162231,14.329000473022461,,,,,32.310001373291016,335630.0,16343.6640625,10.312000274658203,0.5547999739646912
2018-10-10,6585.52978515625,225.7689971923828,2785.679931640625,1.1533360481262207,14.255000114440918,,,,,31.655000686645508,319100.0,16391.619140625,10.194000244140625,0.5475999712944031
2018-10-11,6256.240234375,189.49899291992188,2728.3701171875,1.1590440273284912,14.53499984741211,,,,,30.489999771118164,308000.0,15576.353515625,10.157999992370605,0.5449000000953674
2018-10-12,6274.580078125,196.7270050048828,2767.1298828125,,14.564000129699707,,,,,30.40999984741211,310000.0,15317.3876953125,10.222000122070312,0.5522000193595886
2018-10-13,6285.990234375,199.84100341796875,,,,,,,,,,,,
2018-10-14,6290.93017578125,195.71499633789062,,1.1551345586776733,,,,,,,,,,
2018-10-15,6596.5400390625,209.70399475097656,2750.7900390625,1.1583458185195923,14.656000137329102,,,,,30.440000534057617,308000.0,15163.9267578125,10.1899995803833,0.5523999929428101
2018-10-16,6596.10986328125,210.1199951171875,2809.919921875,1.1575279235839844,14.630000114440918,,,,,30.5049991607666,314750.0,15115.96875,10.095999717712402,0.5611000061035156
2018-10-17,6544.43017578125,207.08299255371094,2809.2099609375,1.1500862836837769,14.592000007629395,,,,,30.315000534057617,315200.0,15307.794921875,10.130000114440918,0.5536999702453613
2018-10-18,6476.7099609375,203.3520050048828,2768.780029296875,1.1460003852844238,14.532999992370605,,,,,30.28499984741211,313200.0,15288.61328125,10.128000259399414,0.550000011920929
2018-10-19,6465.41015625,203.7270050048828,2767.780029296875,,14.579000473022461,,,,,30.334999084472656,314477.0,15221.474609375,10.145999908447266,0.5557000041007996
2018-10-20,6489.18994140625,205.42999267578125,,,,,,,,,,,,
2018-10-21,6482.35009765625,205.14199829101562,,1.1509466171264648,,,,,,,,,,
2018-10-22,6487.16015625,204.04400634765625,2755.8798828125,1.1467890739440918,14.522000312805176,,,,,29.934999465942383,309080.0,15020.0556640625,10.145999908447266,0.5486000180244446
2018-10-23,6475.740234375,204.33599853515625,2740.68994140625,1.147315263748169,14.727999687194824,,,,,28.969999313354492,305100.0,14741.90625,10.168000221252441,0.5454000234603882
2018-10-24,6495.83984375,203.8520050048828,2656.10009765625,1.1399258375167847,14.611000061035156,,,,,28.860000610351562,299995.0,14588.4443359375,10.178000450134277,0.5403000116348267
2018-10-25,6476.2900390625,202.718994140625,2705.570068359375,1.1377859115600586,14.5649995803833,,,,,28.799999237060547,302231.0,14550.078125,10.199999809265137,0.5340999960899353
2018-10-26,6474.75,203.32899475097656,2658.68994140625,,14.635000228881836,,,,,28.510000228881836,296805.0,14741.90625,10.109999656677246,0.5476999878883362
2018-10-27,6480.3798828125,204.2100067138672,,,,,,,,,,,,
2018-10-28,6486.39013671875,205.36599731445312,,,,,,,,,,,,
2018-10-29,6332.6298828125,197.2469940185547,2641.25,1.1398738622665405,14.376999855041504,,,,,28.520000457763672,300000.0,14962.5078125,10.050000190734863,0.5493000149726868
2018-10-30,6334.27001953125,197.55599975585938,2682.6298828125,1.137617588043213,14.402999877929688,,,,,28.3799991607666,305579.0,14732.314453125,9.925000190734863,0.5421000123023987
2018-10-31,6317.60986328125,197.38099670410156,2711.739990234375,1.1346358060836792,14.229000091552734,,,,,29.309999465942383,307705.0,14809.0458984375,9.84000015258789,0.5393999814987183
2018-11-01,6377.77978515625,198.8719940185547,2740.3701171875,1.1316697597503662,14.729000091552734,,,,,28.780000686645508,308366.0,14703.5400390625,9.84000015258789,0.5511999726295471
2018-11-02,6388.43994140625,200.63499450683594,2723.06005859375,1.1403288841247559,14.706999778747559,,,,,28.825000762939453,308411.0,14799.455078125,10.119999885559082,0.5523999929428101
2018-11-03,6361.259765625,200.18600463867188,,,,,,,,,,,,
2018-11-04,6376.1298828125,207.48599243164062,,,,,,,,,,,,
2018-11-05,6419.66015625,209.09100341796875,2738.31005859375,1.1397570371627808,14.604000091552734,,,,,29.25,323935.0,14387.02734375,9.993000030517578,0.5465999841690063
2018-11-06,6461.009765625,218.45199584960938,2755.449951171875,1.141291856765747,14.458000183105469,,,,,29.155000686645508,327050.0,14396.6171875,9.906000137329102,0.5465999841690063
2018-11-07,6530.14013671875,217.18299865722656,2813.889892578125,1.1438506841659546,14.527999877929688,,,,,29.420000076293945,331391.0,14223.97265625,9.86299991607666,0.5516999959945679
2018-11-08,6453.72021484375,212.2310028076172,2806.830078125,1.1434059143066406,14.38599967956543,,,,,29.55500030517578,333200.0,14434.982421875,9.97700023651123,0.5522000193595886
2018-11-09,6385.6201171875,210.07400512695312,2781.010009765625,1.1368415355682373,14.102999687194824,,,,,29.190000534057617,329665.0,14521.3056640625,9.87399959564209,0.5478000044822693
2018-11-10,6409.22021484375,212.5330047607422,,,,,,,,,,,,
2018-11-11,6411.27001953125,211.33999633789062,,,,,,,,,,,,
2018-11-12,6371.27001953125,210.41799926757812,2726.219970703125,1.132502794265747,13.973999977111816,,,,,29.174999237060547,323040.0,14741.90625,9.913000106811523,0.5623000264167786
2018-11-13,6359.490234375,206.8260040283203,2722.179931640625,1.1233429908752441,13.95199966430664,,,,,28.690000534057617,326700.0,14703.5400390625,9.87600040435791,0.5566999912261963
2018-11-14,5738.35009765625,181.39700317382812,2701.580078125,1.1311193704605103,14.055000305175781,,,,,28.155000686645508,323700.0,14866.59375,9.848999977111816,0.54830002784729
2018-11-15,5648.02978515625,180.80599975585938,2730.199951171875,1.131183385848999,14.237000465393066,,,,,28.344999313354492,326300.0,14751.4970703125,9.970999717712402,0.5519999861717224
2018-11-16,5575.5498046875,175.177001953125,2736.27001953125,1.1324899196624756,14.357999801635742,,,,,28.44499969482422,328350.0,15192.697265625,9.932000160217285,0.5461000204086304
2018-11-17,5554.330078125,174.00100708007812,,,,,,,,,,,,
2018-11-18,5623.5400390625,177.06700134277344,,,,,,,,,,,,
2018-11-19,4871.490234375,149.1750030517578,2690.72998046875,1.141396164894104,14.380999565124512,,,,,28.350000381469727,326706.0,14933.732421875,9.904000282287598,0.5360000133514404
2018-11-20,4451.8701171875,130.33900451660156,2641.889892578125,1.1455016136169434,14.246999740600586,,,,,27.850000381469727,315970.0,15077.603515625,9.875,0.5418000221252441
2018-11-21,4602.169921875,136.7010040283203,2649.929931640625,1.1372424364089966,14.479999542236328,,,,,28.229999542236328,316301.0,15058.419921875,9.92300033569336,0.538100004196167
